#Apply the patch from openhevc_remove_fill_ref_sample_in_xmem2.patch
func_name,is_array,offset,varname,dir,width,depth,remark
innerloop_ff_hevc_extract_rbsp_1_hls,0,640,zero_i,in,8,1,
innerloop_ff_hevc_extract_rbsp_1_hls,0,640,zero_o,out,8,1,
innerloop_ff_hevc_extract_rbsp_1_hls,0,1120,loop_init,in,32,1,
innerloop_ff_hevc_extract_rbsp_1_hls,0,1128,loop_len,in,32,1,
innerloop_ff_hevc_extract_rbsp_1_hls,0,1124,loop_inc,in,32,1,
innerloop_ff_hevc_extract_rbsp_1_hls,0,1132,loop_cnt,out,32,1,
#innerloop_ff_hevc_extract_rbsp_2_hls,0,0,skipped_bytes_pos_is_null,in,8,1,apcall_arg
innerloop_ff_hevc_extract_rbsp_2_hls,0,632,si_loop_i,in,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,632,si_loop_o,out,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,636,di_loop_i,in,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,636,di_loop_o,out,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,640,zero_i,in,8,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,640,zero_o,out,8,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,628,skipped_bytes_i,in,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,628,skipped_bytes_o,out,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,1,8192,skipped_bytes_pos_Din_A,out,32,1024,bram_xmem addr_width=32 we_width=4
innerloop_ff_hevc_extract_rbsp_2_hls,0,1120,loop_init,in,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,1128,loop_len,in,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,1124,loop_inc,in,32,1,
innerloop_ff_hevc_extract_rbsp_2_hls,0,1132,loop_cnt,out,32,1,
#fill_ref_samples_mtdma_top_wrp,0,0,x0,in,13,1,apcall_arg
#fill_ref_samples_mtdma_top_wrp,0,0,y0,in,13,1,apcall_arg
#fill_ref_samples_mtdma_top_wrp,0,0,cidx,in,2,1,apcall_arg
#fill_ref_samples_mtdma_top_wrp,0,0,mode,in,2,1,apcall_arg
#fill_ref_samples_mtdma_top_wrp,0,0,log2TrSize_shifted,in,3,1,apcall_arg
#fill_ref_samples_mtdma_top_wrp,0,0,shift,in,1,1,apcall_arg
fill_ref_samples_mtdma_top_wrp,0,644,numIntraNeighbor,in,6,1,
fill_ref_samples_mtdma_top_wrp,0,648,totalUnits,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,652,aboveUnits,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,656,leftUnits,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,660,unitWidth,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,664,unitHeight,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,668,log2TrSize,in,3,1,
fill_ref_samples_mtdma_top_wrp,0,672,bNeighborFlags,in,65,1,split_u32_array
fill_ref_samples_mtdma_top_wrp,0,684,numIntraNeighbor_c,in,6,1,
fill_ref_samples_mtdma_top_wrp,0,688,totalUnits_c,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,692,aboveUnits_c,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,696,leftUnits_c,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,700,unitWidth_c,in,8,1,
fill_ref_samples_mtdma_top_wrp,0,704,unitHeight_c,in,8,1,
